分支号	始节点	末节点	风量	风阻	阻力	是否固定	风机名称	可调节性	局部风阻	始末节点标高差	平均密度	附加阻力
1	1	669	32.7	0.00130928	1.4	0	0	可调	0	0	1.23	0
2	10	670	33.914968	0.002236928	2.572971	0	0	可调	0	0	1.23	0
3	100	566	0.389837	0.006106352	0.000928	0	0	可调	0	0	1.23	0
4	100	543	2.357463	0.074879556	0.416153	0	0	可调	0	0	1.23	0
5	101	568	11.692186	0.00610858	0.835087	0	0	可调	0	0	1.23	0
6	102	103	26.126987	0.067034678	45.759175	0	0	可调	0	0	1.23	0
7	103	104	26.938914	0.012060022	8.752019	0	0	可调	0	0	1.23	0
8	104	108	26.938914	0.040553278	29.42972	0	0	可调	0	0	1.23	0
9	105	193	13.119131	0.019783577	3.404983	0	0	可调	0	0	1.23	0
10	106	107	12.645901	0.002527182	0.404144	0	0	可调	0	0	1.23	0
11	107	197	26.938914	0.047274162	34.3071	0	0	可调	0	0	1.23	0
12	108	105	13.119131	0.00217108	0.373668	0	0	可调	0	0	1.23	0
13	108	194	13.819783	0.019783571	3.778393	0	0	可调	0	0	1.23	0
14	109	453	0.128835	0.005422191	0.00009	0	0	可调	0	0	1.23	0
15	109	195	26.040604	0.008331117	5.649439	0	0	可调	0	0	1.23	0
16	11	690	32.550533	0.013870244	14.69604	0	0	可调	0	0	1.23	0
17	110	111	0.811927	0.004817775	0.003176	0	0	可调	0	0	1.23	0
18	111	112	0.811927	0.004344492	0.002864	0	0	可调	0	0	1.23	0
19	112	103	0.811927	0.10862748	0.07161	0	0	可调	0	0	1.23	0
20	113	114	6.702602	0.00356257	0.160048	0	0	可调	0	0	1.23	0
21	114	110	0.811927	0.019146712	0.012622	0	0	可调	0	0	1.23	0
22	114	115	5.890675	0.002775097	0.096296	0	0	可调	0	0	1.23	0
23	115	116	5.953426	0.005550192	0.196717	0	0	可调	0	0	1.23	0
24	116	559	6.028567	0.02090576	0.759791	0	0	可调	0	0	1.23	0
25	117	179	0.099426	0.003237055	0.000032	0	0	可调	0	0	1.23	0
26	117	113	6.702602	0.003379887	0.151841	0	0	可调	0	0	1.23	0
27	118	178	0.038466	0.003379216	0.000005	0	0	可调	0	0	1.23	0
28	118	117	6.802028	0.003197184	0.147926	0	0	可调	0	0	1.23	0
29	119	550	1.167169	0.004018987	0.005475	0	0	可调	0	0	1.23	0
30	12	608	0.521562	0.002911477	0.000792	0	0	可调	0	0	1.23	0
31	120	528	1.481097	0.006511527	0.014284	0	0	可调	0	0	1.23	0
32	120	515	6.247566	0.022399882	0.874314	0	0	可调	0	0	1.23	0
33	121	554	1.070557	0.010360422	0.011874	0	0	可调	0	0	1.23	0
34	122	521	9.642761	0.072341413	6.72651	0	0	可调	0	0	1.23	0
35	123	122	1.955731	0.00651157	0.024906	0	0	可调	0	0	1.23	0
36	124	125	5.296718	0.016429704	0.460939	0	0	可调	0	0	1.23	0
37	125	126	5.296718	0.117134666	3.286239	0	0	可调	0	0	1.23	0
38	126	102	5.296718	0.154114377	4.323713	0	0	可调	0	0	1.23	0
39	127	467	0.476631	0.002693933	0.000612	0	0	可调	0	0	1.23	0
40	128	129	55.573653	0.003879132	11.980432	0	0	可调	0	0	1.23	0
41	129	79	55.573653	0.010833294	33.45788	0	0	可调	0	0	1.23	0
42	13	201	97.572392	0.003660848	34.852629	0	0	可调	0	0	1.23	0
43	130	492	2.320158	0.000732102	0.003941	0	0	可调	0	0	1.23	0
44	131	697	11.232615	0.008307897	1.048221	0	0	可调	0	0	1.23	0
45	132	133	7.144057	0.000190859	0.009741	0	0	可调	0	0	1.23	0
46	133	403	7.144057	0.00120719	0.061612	0	0	可调	0	0	1.23	0
47	134	459	135.495881	0.001625542	29.843548	0	0	可调	0	0	1.23	0
48	135	136	151.971084	0.000151967	3.509714	0	0	可调	0	0	1.23	0
49	136	137	151.971084	0.000151967	3.509714	0	0	可调	0	0	1.23	0
50	137	81	151.971084	0.000227951	5.264572	0	0	可调	0	0	1.23	0
