分支号	风量	是否固定
1	32.7	0
2	33.914968	0
3	0.389837	0
4	2.357463	0
5	11.692186	0
6	26.126987	0
7	26.938914	0
8	26.938914	0
9	13.119131	0
10	12.645901	0
11	26.938914	0
12	13.119131	0
13	13.819783	0
14	0.128835	0
15	26.040604	0
16	32.550533	0
17	0.811927	0
18	0.811927	0
19	0.811927	0
20	6.702602	0
21	0.811927	0
22	5.890675	0
23	5.953426	0
24	6.028567	0
25	0.099426	0
26	6.702602	0
27	0.038466	0
28	6.802028	0
29	1.167169	0
30	0.521562	0
31	1.481097	0
32	6.247566	0
33	1.070557	0
34	9.642761	0
35	1.955731	0
36	5.296718	0
37	5.296718	0
38	5.296718	0
39	0.476631	0
40	55.573653	0
41	55.573653	0
42	97.572392	0
43	2.320158	0
44	11.232615	0
45	7.144057	0
46	7.144057	0
47	135.495881	0
48	151.971084	0
49	151.971084	0
50	151.971084	0
51	86.313364	0
52	18.731869	0
53	0.79738	0
54	85.515984	0
55	4.067988	0
56	85.662709	0
57	30.031	0
58	0.146725	0
59	29.884275	0
60	42.910527	0
61	13.026252	0
62	0.435562	0
63	13.026252	0
64	13.461814	0
65	11.299131	0
66	13.461814	0
67	3.410851	0
68	24.760944	0
69	0.861056	0
70	2.549795	0
71	1.862143	0
72	0.861056	0
73	1.349025	0
74	3.232595	0
75	4.029975	0
76	2.549795	0
77	2.549795	0
78	2.549795	0
79	2.549795	0
80	2.549795	0
81	0.487969	0
82	0.991107	0
83	1.070719	0
84	1.862143	0
85	0.487969	0
86	134.029879	0
87	0.812851	0
88	28.171795	0
89	3.593169	0
90	3.593169	0
91	3.593169	0
92	3.593169	0
93	3.593169	0
94	82.920634	0
95	82.920634	0
96	10.239373	0
97	14.441879	0
98	14.441879	0
99	27.479027	0
100	115.697178	0
101	1.96985	0
102	1.249417	0
103	18.818804	0
104	1.475565	0
105	0.075141	0
106	0.036675	0
107	0.062751	0
108	0.34	0
109	24.625745	0
110	1.723323	0
111	15.632804	0
112	14.905343	0
113	24.62	0
114	1.203391	0
115	10.685082	0
116	0.067009	0
117	10.618073	0
118	10.963439	0
119	4.655703	0
120	1.579384	0
121	3.171644	0
122	7.023747	0
123	6.978654	0
124	14.905343	0
125	7.023747	0
126	0.817554	0
127	12.645901	0
128	14.293013	0
129	13.463455	0
130	0.344323	0
131	13.475459	0
132	26.040604	0
133	13.227608	0
134	27	0
135	6.744714	0
136	6.744714	0
137	40.93895	0
138	21.175136	0
139	108.785134	0
140	110.8	0
141	8.622577	0
142	8.522138	0
143	1.401027	0
144	4.705469	0
145	2.344665	0
146	40.999728	0
147	8.673268	0
148	5.768611	0
149	8.673268	0
150	4.961529	0
151	7.5	0
152	2.757234	0
153	5.568286	0
154	4.961529	0
155	16.079298	0
156	16.079298	0
157	0.345366	0
158	10.259595	0
159	10.604961	0
160	10.537952	0
161	0.803446	0
162	16.305968	0
163	13.298248	0
164	16.305968	0
165	0.221182	0
166	0.411119	0
167	32.842427	0
168	1.396679	0
169	1.396679	0
170	12.558646	0
171	20.616719	0
172	0.618607	0
173	0.778072	0
174	1.249417	0
175	5.271687	0
176	6.777145	0
177	1.396679	0
178	1.396679	0
179	1.396679	0
180	2.769049	0
181	0.618607	0
182	0.618607	0
183	15.311162	0
184	15.311162	0
185	2.018217	0
186	29.609509	0
187	7.337153	0
188	7.974009	0
189	21.866136	0
190	7.337153	0
191	8.709852	0
192	1.372699	0
193	6.60131	0
194	32.207893	0
195	32.207893	0
196	24.535101	0
197	19.649247	0
198	24.632982	0
199	5.271687	0
200	5.271687	0
201	5.271687	0
202	5.271687	0
203	12.558646	0
204	5.271687	0
205	12.048832	0
206	12.048832	0
207	6.777145	0
208	6.777145	0
209	6.777145	0
210	6.777145	0
211	2.745945	0
212	2.745945	0
213	4.566688	0
214	17.299448	0
215	5.433342	0
